Date,VNI30,ACB,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,KDH,MBB,MSN,MWG,NVL,PDR,PLX,PNJ,POW,SAB,SSI,STB,TCB,TPB,VCB,VHM,VIC,VJC,VNM,VPB,VRE
05/07/2019,880.23,11058,25103.3,82900,15769.3,27221.8,103600,13395,10181.8,10202.7,17983.5,10489.4,85000,31094,33545,17094.3,64500,51883.4,14700,280000,13212.5,11400,21350,14004.8,55752,64661,116700,129500,99925,7185.3,35750
08/07/2019,870.92,10982.3,24911.9,82900,15582.9,27046.5,103000,12903,10084.8,9951,17829.1,10390.9,84500,30736,33490,16933.3,63900,51326.3,14650,281000,13082.2,11400,20900,13944.2,54753,62406,116000,128500,98341,7166.7,35800
09/07/2019,872.21,11285.2,24950.2,83400,15620.2,27309.4,104400,13001,10143,9768,17752,10440.1,84200,31616,33434,16997.7,64000,51256.6,14500,281000,13056.1,11350,20700,13944.2,55214,62481,116000,128900,98975,7148.2,36400
10/07/2019,876.12,11209.5,24797.1,84600,15657.4,27484.7,105800,13297,10065.4,9768,17752,10390.9,84200,32072,33823,17126.5,64000,50838.8,14700,285000,12977.9,11450,20700,13944.2,55675,62707,116800,131500,98975,7185.3,36150
11/07/2019,879.1,11436.7,25600.7,84900,16067.5,27455.5,106200,13494,10123.6,9859.5,17597.6,10538.6,82500,31942,34213,17255.3,64600,50838.8,14800,286000,13082.2,11500,21000,13913.9,56827,62481,116500,131300,99133,7277.9,36450
12/07/2019,874.99,11398.8,25562.5,84900,15992.9,27455.5,105800,13198,10143,10019.7,17597.6,10514,81500,31974,33935,16965.5,64500,51256.6,14900,289000,13056.1,11400,20700,13883.6,56596,62481,116000,130200,98183,7222.3,35900
15/07/2019,873.71,11361,25485.9,84300,16030.2,27630.7,106000,13100,10123.6,9813.8,17288.9,10563.3,79900,32985,33490,16933.3,64600,51813.8,14700,282000,13030,11350,21150,13974.5,57595,61654,114200,129500,97549,7259.3,36250
16/07/2019,880.91,11436.7,26442.6,86400,16179.3,27630.7,106400,13592,10104.2,9882.4,17057.3,10711,80400,33310,33601,16740.2,64300,52022.7,14600,285000,13030,11400,21200,14126.1,59284,63082,115900,131000,98183,7296.4,37000
17/07/2019,879.75,11626,26442.6,88000,16328.5,27484.7,108900,13395,10240,9768,17057.3,10883.4,79800,33115,33100,16804.6,64300,51674.5,14550,286000,13447,11550,21100,14186.7,58516,63158,115500,130000,99291,7185.3,37000
18/07/2019,870.81,11663.9,26557.4,85800,16142.1,27338.6,107200,13592,10220.6,9585,17057.3,10932.6,75800,33865,32154,16740.2,64200,51047.7,14350,284000,13316.7,11550,20900,14065.5,58670,63158,114800,128500,98658,7148.2,36600
19/07/2019,880.79,11815.4,26710.5,84500,16291.2,28156.4,106000,13592,10240,9424.9,17288.9,10932.6,77700,34516,32377,16901.1,64100,51535.2,14050,277100,13342.8,11700,21200,13822.9,60666,63534,116000,130200,100479,7185.3,37400
22/07/2019,879.62,11739.7,27361,85800,16104.8,28244.1,105500,13986,10123.6,9493.5,17211.7,10932.6,79200,34712,32043,16740.2,64200,53624.5,14000,277200,13056.1,11500,21050,13944.2,60666,63609,103556,132000,99371,7074.2,36700
23/07/2019,888.26,11663.9,26978.3,84200,16142.1,28506.9,107100,14183,10143,9928.1,17057.3,11178.8,79600,35494,32433,16933.3,64200,54539.3,14100,277300,13082.2,11500,21050,14004.8,60590,64511,106489,131900,99291,7074.2,37300
24/07/2019,887.39,11626,26366.1,85200,15843.8,28390.1,106700,14774,10123.6,9859.5,16903,11129.6,80700,35005,32766,16933.3,66000,53976.3,14050,277500,12873.7,11350,20950,13974.5,59054,64511,108445,132800,99450,7074.2,37350
25/07/2019,890.41,11667.7,26940.1,84800,15843.8,28419.3,108000,14676,10143,10248.4,16671.4,11031.1,80800,35168,32544,17029.9,65700,55031.9,14150,283000,12691.3,11200,20900,13944.2,59668,65789,109511,133000,99054,6963,37500
26/07/2019,887.84,11520,27399.3,85400,15806.5,28506.9,108000,14380,10104.2,10317,16825.8,11006.5,80900,34777,32433,17029.9,65800,55031.9,14150,278900,12717.3,11150,20800,13913.9,60282,65789,108533,133000,98579,6944.5,37400
29/07/2019,888.54,11323.1,27399.3,85500,15582.9,28390.1,111000,14676,10084.8,10111.2,16864.4,11055.7,81000,34549,32544,17126.5,64700,54750.4,14050,278000,12561,10950,20800,13883.6,62202,66015,110578,133400,97787,6944.5,36750
30/07/2019,877.92,11273.8,26787,85300,15433.8,27922.8,109000,14380,10084.8,9836.6,16864.4,10760.2,79900,33799,32488,17062.1,64600,53694.8,13800,281000,12170.1,10850,20700,13822.9,61895,63158,108889,133400,97787,6907.5,35850
31/07/2019,883.19,11224.6,27169.7,84000,15471,28273.3,109100,14676,10065.4,10317,17134.5,10932.6,80000,34810,32099,17126.5,65500,54046.7,14100,279000,12091.9,10700,20550,13822.9,61588,66316,108445,133400,97549,6870.4,36950
01/08/2019,887.39,11076.9,27131.4,84200,15210.1,28244.1,108300,14577,10084.8,10339.9,17674.8,10834.1,80100,35364,32933,17577.2,65000,55031.9,13900,281500,12144,10500,20700,13641.1,61818,68045,110578,133000,98341,6851.9,37000
02/08/2019,885.29,10978.5,27399.3,83000,15172.8,28506.9,106000,15267,10104.2,10271.3,17674.8,10809.5,79000,35201,33434,17512.8,65000,56580.2,14000,280000,12013.7,10600,20550,13428.9,60743,67819,108889,132400,98183,7055.6,36250
05/08/2019,872.39,10830.8,27399.3,78600,15172.8,28623.8,104000,15759,9929.7,10134,17559,10735.6,76800,35690,33100,17223.1,63100,56791.3,13900,280200,11622.8,10450,20400,13641.1,59438,64060,104889,130700,96599,7018.6,35000
06/08/2019,866.13,10683.1,26940.1,77000,15061,28594.6,102000,16547,9697,9951,17366.1,10514,75000,35853,32766,17062.1,61300,58972.8,13450,279200,11284,10450,20250,13641.1,58593,62782,106489,130100,95174,6963,34850
07/08/2019,868.27,10633.8,26557.4,75500,15061,29061.9,100500,16350,9697,10111.2,17713.4,10489.4,74800,37157,33156,17062.1,62000,60943.3,13400,280000,11049.5,10400,20100,13641.1,60206,63158,104889,130900,95807,6944.5,34700
08/08/2019,875.81,10830.8,26557.4,79900,15247.4,29383.2,101000,16600,9697,10660.2,18060.7,10637.1,74800,36831,32766,17255.3,62200,59676.6,13350,280000,11049.5,10450,20200,13671.4,60282,64299,108445,131100,95728,6926,35500
09/08/2019,878.62,10781.5,26557.4,78000,15284.6,29850.5,101300,16400,10201.2,10568.7,18215.1,10563.3,76100,37776,33378,17255.3,62200,59254.3,13450,275700,11466.4,10350,20200,13701.7,60282,63919,106845,131700,95807,7037.1,35500
12/08/2019,882.23,10830.8,27054.9,78000,15172.8,30551.5,102000,16100,10143,10797.4,18060.7,10784.9,76000,38134,33323,17255.3,62400,60309.9,13300,274400,11544.6,10350,20250,13701.7,59668,64071,106667,134500,95491,7037.1,35450
13/08/2019,877.97,10781.5,26710.5,77300,15359.2,30668.3,100000,15300,10104.2,10728.8,18060.7,10932.6,75600,38395,33211,17094.3,63200,61224.8,12900,277000,11388.3,10200,20650,13701.7,58593,63082,104978,132500,93432,7074.2,34900
14/08/2019,880.51,10683.1,26863.5,78500,15284.6,31077.2,100900,15500,10201.2,10728.8,18099.3,10981.8,75600,38754,33490,16997.7,62400,60309.9,12900,277000,11362.2,10150,20850,13610.8,58593,63158,105422,131600,93986,7129.7,34700
